Máquina,Lucro Líquido Total,Falhas Simples,Falhas Graves,Falhas Totais,Paradas Preventivas
644,0,0,0,0,10
645,0,0,0,0,10
646,0,0,0,0,10
647,0,0,0,0,10
648,0,0,0,0,10
649,0,0,0,0,10
650,0,0,0,0,10
651,0,0,0,0,10
652,0,0,0,0,10
653,0,0,0,0,10
654,0,0,0,0,10
655,0,0,0,0,10
656,0,0,0,0,10
657,0,0,0,0,10
658,0,0,0,0,10
659,0,0,0,0,10
660,0,0,0,0,10
661,0,0,0,0,10
662,0,0,0,0,10
663,0,0,0,0,10
664,0,0,0,0,10
665,0,0,0,0,10
666,0,0,0,0,10
667,0,0,0,0,10
668,0,0,0,0,10
669,0,0,0,0,10
670,0,0,0,0,10
671,0,0,0,0,10
672,0,0,0,0,10
673,0,0,0,0,10
674,0,0,0,0,10
675,0,0,0,0,10
676,0,0,0,0,10
677,0,0,0,0,10
678,0,0,0,0,10
679,0,0,0,0,10
680,0,0,0,0,10
681,0,0,0,0,10
682,0,0,0,0,10
683,0,0,0,0,10
684,0,0,0,0,10
685,0,0,0,0,10
686,0,0,0,0,10
687,0,0,0,0,10
688,0,0,0,0,10
689,0,0,0,0,10
690,0,0,0,0,10
691,0,0,0,0,10
692,0,0,0,0,10
693,0,0,0,0,10
694,0,0,0,0,10
695,0,0,0,0,10
696,0,0,0,0,10
697,0,0,0,0,10
698,0,0,0,0,10
699,0,0,0,0,10
700,0,0,0,0,10
701,0,0,0,0,10
702,0,0,0,0,10
703,0,0,0,0,10
704,0,0,0,0,10
705,0,0,0,0,10
706,0,0,0,0,10
707,0,0,0,0,10
708,0,0,0,0,10
709,0,0,0,0,10
710,0,0,0,0,10
711,0,0,0,0,10
712,0,0,0,0,10
713,0,0,0,0,10
714,0,0,0,0,10
715,0,0,0,0,10
716,0,0,0,0,10
717,0,0,0,0,10
718,0,0,0,0,10
719,0,0,0,0,10
720,0,0,0,0,10
721,0,0,0,0,10
722,0,0,0,0,10
723,0,0,0,0,10
724,0,0,0,0,10
725,0,0,0,0,10
726,0,0,0,0,10
727,0,0,0,0,10
728,0,0,0,0,10
729,0,0,0,0,10
730,0,0,0,0,10
731,0,0,0,0,10
732,0,0,0,0,10
733,0,0,0,0,10
734,0,0,0,0,10
735,0,0,0,0,10
736,0,0,0,0,10
737,0,0,0,0,10
738,0,0,0,0,10
739,0,0,0,0,10
740,0,0,0,0,10
741,0,0,0,0,10
742,0,0,0,0,10
743,0,0,0,0,10
744,0,0,0,0,10
745,0,0,0,0,10
746,0,0,0,0,10
747,0,0,0,0,10
748,0,0,0,0,10
749,0,0,0,0,10
750,0,0,0,0,10
751,0,0,0,0,10
752,0,0,0,0,10
753,0,0,0,0,10
754,0,0,0,0,10
755,0,0,0,0,10
756,0,0,0,0,10
757,0,0,0,0,10
758,0,0,0,0,10
759,0,0,0,0,10
760,0,0,0,0,10
761,0,0,0,0,10
762,0,0,0,0,10
763,0,0,0,0,10
764,0,0,0,0,10
765,0,0,0,0,10
766,0,0,0,0,10
767,0,0,0,0,10
768,0,0,0,0,10
769,0,0,0,0,10
770,0,0,0,0,10
771,0,0,0,0,10
772,0,0,0,0,10
773,0,0,0,0,10
774,0,0,0,0,10
775,0,0,0,0,10
776,0,0,0,0,10
777,0,0,0,0,10
778,0,0,0,0,10
779,0,0,0,0,10
780,0,0,0,0,10
781,0,0,0,0,10
782,0,0,0,0,10
783,0,0,0,0,10
784,0,0,0,0,10
785,0,0,0,0,10
786,0,0,0,0,10
787,0,0,0,0,10
788,0,0,0,0,10
789,0,0,0,0,10
790,0,0,0,0,10
791,0,0,0,0,10
792,0,0,0,0,10
793,0,0,0,0,10
794,0,0,0,0,10
795,0,0,0,0,10
796,0,0,0,0,10
797,0,0,0,0,10
798,0,0,0,0,10
799,0,0,0,0,10
800,0,0,0,0,10
801,0,0,0,0,10
802,0,0,0,0,10
803,0,0,0,0,10
804,0,0,0,0,10
805,0,0,0,0,10
806,0,0,0,0,10
807,0,0,0,0,10
808,0,0,0,0,10
809,0,0,0,0,10
810,0,0,0,0,10
811,0,0,0,0,10
812,0,0,0,0,10
813,0,0,0,0,10
814,0,0,0,0,10
815,0,0,0,0,10
816,0,0,0,0,10
817,0,0,0,0,10
818,0,0,0,0,10
819,0,0,0,0,10
820,0,0,0,0,10
821,0,0,0,0,10
822,0,0,0,0,10
823,0,0,0,0,10
824,0,0,0,0,10
825,0,0,0,0,10
826,0,0,0,0,10
827,0,0,0,0,10
828,0,0,0,0,10
829,0,0,0,0,10
830,0,0,0,0,10
831,0,0,0,0,10
832,0,0,0,0,10
833,0,0,0,0,10
834,0,0,0,0,10
835,0,0,0,0,10
836,0,0,0,0,10
837,0,0,0,0,10
838,0,0,0,0,10
839,0,0,0,0,10
840,0,0,0,0,10
841,0,0,0,0,10
842,0,0,0,0,10
843,0,0,0,0,10
844,0,0,0,0,10
845,0,0,0,0,10
846,0,0,0,0,10
847,0,0,0,0,10
848,0,0,0,0,10
849,0,0,0,0,10
850,0,0,0,0,10
851,0,0,0,0,10
852,0,0,0,0,10
853,0,0,0,0,10
854,0,0,0,0,10
855,0,0,0,0,10
856,0,0,0,0,10
857,0,0,0,0,10
858,0,0,0,0,10
859,0,0,0,0,10
860,0,0,0,0,10
861,0,0,0,0,10
862,0,0,0,0,10
863,0,0,0,0,10
864,0,0,0,0,10
865,0,0,0,0,10
866,0,0,0,0,10
867,0,0,0,0,10
868,0,0,0,0,10
869,0,0,0,0,10
870,0,0,0,0,10
871,0,0,0,0,10
872,0,0,0,0,10
873,0,0,0,0,10
874,0,0,0,0,10
875,0,0,0,0,10
876,0,0,0,0,10
877,0,0,0,0,10
878,0,0,0,0,10
879,0,0,0,0,10
880,0,0,0,0,10
881,0,0,0,0,10
882,0,0,0,0,10
883,0,0,0,0,10
884,0,0,0,0,10
885,0,0,0,0,10
886,0,0,0,0,10
887,0,0,0,0,10
888,0,0,0,0,10
889,0,0,0,0,10
